sein	be
die Umwandlung	the conversion
der Patron	the patron
Stadt	municipal
die Leber	the liver
die Harmonie	the harmony
einzig und allein	solely
die Toleranz	the tolerance
der Moment	the instant
die Ziege	the goat
Arm	arm
der Segen	the blessing
die Banane	the banana
das Laufen	the running
der Palast	the palace
früher	formerly
der Bauer	the peasant
ordentlich	neat
der Supermarkt	the supermarket
die Kreuzfahrt	the cruise
die Ebene	the plain
der Kalender	the calendar
die Witwe	the widow
die Anzahlung	the deposit
der Bart	the beard
die Bremse	the brake
das Screening	the screening
der Impuls	the impulse
verbieten	forbid
das Fell	the fur
brutal	brutal
der Räuber	the predator
Sack	poke
opt	opt
freiwillig	voluntary
Ärger	trouble
gültig	valid
das Forum	the forum
das Tanzen	the dancing
steigen	soar
die Beseitigung	the removal
die Autonomie	the autonomy
erlassen	enact
der Faden	the thread
das Wahrzeichen	the landmark
unzufrieden	unhappy
der Täter	the offender
Kommen	coming
privat	privately
unverwechselbar	distinctive
der Tourismus	the tourism
der Grenzbereich	the threshold
routinemäßig	routinely
die Suite	the suite
Anmerkung	remark
der Regler	the regulator
der Strohhalm	the straw
theologisch	theological
Auspuff	exhaust
der Globus	the globe
zerbrechlich	fragile
der Einwand	the objection
die Chemie	the chemistry
altmodisch	old-fashioned
überfüllt	crowded
Kreis	circle
die Explosion	the blast
herrschen	prevail
über Nacht	overnight
die Verweigerung	the denial
die Miete	the rental
Fantastisch	fantastic
das Fragment	the fragment
Niveau	level
Schraube	screw
die Wärme	the warmth
die Bachelor	the undergraduate
Flüssigkeit	liquid
die Kopfschmerzen	the headache
der Polizist	the policeman
die Ausbeute	the yield
der Vorsprung	the projection
Schlacht	battle
geeignet	suitable
die Erwähnung	the mention
der Schulabschluss	the graduation
bohren	drill
grausam	cruel
die Villa	the mansion
der Bezug	the regard
die Traube	the grape
autorisieren	authorize
die Hütte	the cottage
die Auffahrt	the driveway
der Charm	the charm
die Sexualität	the sexuality
treu	loyal
der Ton	the clay
Pfund	pound
der Ballon	the balloon
die Erfindung	the invention
das Ego	the ego
der Fahrpreis	the fare
die Hausaufgabe	the homework
das Sofa	the sofa
die Garantie	the guarantee
die Verfügbarkeit	the availability
das Radar	the radar
Stirnrunzeln	frown
wiedergewinnen	regain
das Verlassen	the leave
die Genehmigung	the permit
der Pullover	the sweater
die Rehabilitation	the rehabilitation
Gummi	rubber
der Rückzug	the retreat
das Molekül	the molecule
günstig	favorable
ständig	steadily
Veteran	veteran
integriert	integrated
Ha	ha
der Youngster	the youngster
Übertragung	broadcast
das Bessere	the premium
die Rechenschaftspflicht	the accountability
überwältigen	overwhelm
ein Drittel	one-third
aktualisieren	update
Funke	spark
ironisch	ironically
die Müdigkeit	the fatigue
spekulieren	speculate
der Marker	the marker
predigen	preach
der Eimer	the bucket
Bombe	bomb
blond	blond
das Geständnis	the confession
provozieren	provoke
der Marmor	the marble
im Wesentlichen	substantially
die Verwindung	the twist
der Verteidiger	the defender
Fisch	fish
explizit	explicit
der Transport	the transport
störend	disturbing
die Überwachung	the surveillance
magnetisch	magnetic
der Techniker	the technician
murmeln	mutter
verheerend	devastating
abfahren	depart
der Pfeil	the arrow
das Trauma	the trauma
Nachbar	neighboring
einweichen	soak
das Farbband	the ribbon
die Zwischenzeit	the meantime
übertragen	transmit
Bildschirm	screen
die Ernte	the harvest
aufeinanderfolgenden	consecutive
Republikaner	republican
Koordinate	coordinate
der Spion	the spy
der Schlitz	the slot
der Aufstand	the riot
der Nährstoff	the nutrient
die Staatsbürgerschaft	the citizenship
die Souveränität	the sovereignty
der Grat	the ridge
mutig	brave
die Beleuchtung	the lighting
angeben	specify
der Beiträger	the contributor
vereiteln	frustrate
Menge	crowd
artikulieren	articulate
wichtig	importantly
der Transit	the transit
dicht	dense
das Seminar	the seminar
die Elektronik	the electronics
sonnig	sunny
die Shorts	the shorts
anschwellen	swell
der Vorwurf	the accusation
erweichen	soften
Foto	photograph
begradigen	straighten
fürchterlich	terribly
der Cue	the cue
die Braut	the bride
die Biographie	the biography
die Gefahr	the hazard
zwingend	compelling
die Fliese	the tile
wirtschaftlich	economically
ehrlich	honestly
beunruhigt	troubled
Bogen	bow
zwanzigste	twentieth
ausgewogen	balanced
der Ausländer	the foreigner
der Start	the launch
die Annehmlichkeit	the convenience
weben	weave
das Holz	the timber
der Klagegrund	the plea
die Glühbirne	the bulb
Kopieren	copy
fliegend	flying
nachhaltig	sustainable
der Teufel	the devil
die Fracht	the cargo
die Wirbelsäule	the spine
der Verkäufer	the seller
Fach	skilled
Verwaltung	managing
Marine	marine
das Dock	the dock
organisiert	organized
der Nebel	the fog
der Diplomat	the diplomat
langweilig	boring
irgendwann	sometime
die Zusammenfassung	the summary
der Missionar	the missionary
die Epidemie	the epidemic
tödlich	fatal
trimmen	trim
das Warenhaus	the warehouse
beschleunigen	accelerate
der Schmetterling	the butterfly
die Bronze	the bronze
ertrinken	drown
inhärent	inherent
das Lob	the praise
landesweit	nationwide
spucken	spit
Ernte	harvest
knien	kneel
das Vakuum	the vacuum
ausgewählt	selected
diktieren	dictate
das Klischee	the stereotype
der Sensor	the sensor
die Wäscherei	the laundry
das Handbuch	the manual
die Pistole	the pistol
marine	naval
der Kläger	the plaintiff
die Mittelklasse	the middle-class
die Entschuldigung	the apology
der Man	the man
das Ding	the thing
die Raum	the room
die Ehefrau	the wife
das Los	the lot
die Anzahl	the number
der Beutel	the bag
die Rast	the rest
die Mama	the mom
die Sir	the sir
der Brief	the letter
die Wohnung	the apartment
der Fels	the rock
die Kleider	the clothes
das Gedächtnis	the memory
die Reiß	the tear
der Schüler	the student
die Sehenswürdigkeit	the sight
der Erzähler	the narrator
der Offizier	the officer
der Wächter	the guard
die Bit	the bit
dunkelheit	the darkness
der Fehl	the miss
das College	the college
norden	the north
das Geräusch	the noise
die Mama	the mama
der Herr	the lord
der Papa	the daddy
der Platz	the spot
das Maximum	the maximum
die Gate	the gate
die Vorhalle	the porch
das Schwimmbecken	the pool
staub	the dust
wein	the wine
die Bob	the bob
der Club	the club
sturm	the storm
die Türöffnung	the doorway
die Hose	the pant
das Erlebnis	the experience
das Camp	the camp
der Strahl	the ray
die Volks	the folk
der Knopf	the button
das Level	the level
die Runden	the lap
das Magazin	the magazine
der Ast	the branch
das Auf Wiedersehen	the goodbye
das Park	the parking
das Gelächter	the laughter
der Verfasser	the writer
die Gardine	the curtain
das Rudel	the pack
die Lilie	the lily
den Artikel	the article
die Lauf	the run
das Weinen	the cry
die Instant	the instant
das Publikum	the audience
die Jahreszeit	the season
der Klient	the client
der Prinz	the prince
dem Kunden	the customer
die Emotion	the emotion
der Grad	the degree
das Begräbnis	the funeral
der Oberschenkel	the thigh
der Buck	the buck
die Ziegel	the brick
die Hülse	the sleeve
der Speisesaal	the dining
der Drache	the dragon
der Umschlag	the envelope
die Erwachsene	the adult
das Kopfnicken	the nod
die Robe	the robe
der Stil	the style
die Kreis	the county
der Schrei	the scream
die Bitch	the bitch
der Seufzer	the sigh
der Messestand	the booth
das TShirt	the tshirt
das Flüstern	the whisper
die Hank	the hank
das Glied	the limb
der Bastard	the bastard
das Rotkehlchen	the robin
die Justiz	the justice
der Sekretär	the secretary
der Sheriff	the sheriff
die Mitternachts	the midnight
den Wecker	the alarm
die Kiefer	the pine
die Papa	the papa
die Perle	the pearl
die Prinzessin	the princess
das Getriebe	the gear
der Koffer	the suitcase
das Atem	the breathing
der Gefangene	the prisoner
die Burg	the castle
die Fahrspur	the lane
zum Teufel	the fuck
der Hase	the rabbit
der Bereich	the range
die Dick	the dick
die Reflexion	the reflection
die Baseball	the baseball
der Schrecken	the terror
die Buster	the buster
der Wachtmeister	the sergeant
die Bedrohung	the threat
dem Vorabend	the eve
den Titel	the title
das Messgerät	the meter
der Umstand	the circumstance
der Sieger	the victor
die Oma	the grandma
das Glühen	the glow
die Slave	the slave
der Leutnant	the lieutenant
der Maurer	the mason
das Gehen	the walking
die Leiche	the corpse
das Pad	the pad
der Rubin	the ruby
der Oberst	the colonel
der Bach	the creek
die Gunst	the favor
der Dekan	the dean
der Marsch	the march
der Ständige	the standing
der Dämon	the demon
der Pinsel	the brush
die Haube	the hood
der Heilige	the saint
die Angel	the fishing
der Graf	the earl
der Kellner	the waiter
von Lebensmittel	the grocery
das Volumen	the volume
das Ass	the ace
die Phantasie	the imagination
die Schwarze	the black
der Reed	the reed
der Wanderer	the walker
der Ansatz	the approach
die Narbe	the scar
die Tritt	the footstep
der Aufnehmer	the pickup
der Habicht	the hawk
der Anhänger	the trailer
der Käfer	the bug
den Urlaub	the vacation
der Urheberrechts	the copyright
die China	the china
die Durchschnitts	the mean
die Druck	the print
der Idiot	the idiot
der Bulle	the bull
die Saat	the seed
das Versagen	the failure
die Taschenlampe	the flashlight
der Seemann	the sailor
das Weinen	the crying
die Sip	the sip
die Dämmerung	the dusk
das Makeup	the makeup
die Doc	the doc
die Bluse	the blouse
der Bolzen	the bolt
die Klopf	the knock
der Zauber	the spell
die Luke	the hatch
das Dienstmädchen	the maid
die Relative	the relative
die Hexe	the witch
die Locke	the curl
die Kellnerin	the waitress
der Hammer	the hammer
die Indische	the indian
der Balkon	the balcony
der Knoten	the knot
die Stare	the stare
das Motel	the motel
der Liebling	the darling
der Strang	the strand
die Mittags	the noon
die Vene	the vein
der Fuchs	the fox
die Impuls	the pulse
der Kies	the gravel
die Zigarre	the cigar
die Braune	the brown
der Schal	the scarf
die Klaue	the claw
der Cowboy	the cowboy
das Jagd	the hunting
das Pat	the pat
die Bildung	the education
der Schuppen	the shed
der Herzog	the duke
die Schrotflinte	the shotgun
es Gibt	the rear
die Wanne	the tub
die Iris	the iris
die Zugriffs	the access
erz	the brass
die Seitenleiste	the sidebar
der Rumpf	the hull
die Lappen	the rag
das Gute	the good
der Gigant	the giant
die Serviette	the napkin
die Wäsche	the laundry
der Opa	the grandpa
die Einkaufshalle	the mall
der Ford	the ford
die Krähe	the crow
die Selbstmord	the suicide
der Sonnenuntergang	the sunset
der Donner	the thunder
der Whisky	the whiskey
der Klick	the click
der Müller	the miller
die Ruhe	the calm
der Deutsche	the german
der Mönch	the monk
der Wurm	the worm
die Traurigkeit	the sadness
die Tänzerin	the dancer
die Matratze	the mattress
die Ad	the ad
der Becher	the mug
das Kit	the kit
das Gebrüll	the roar
die Truppe	the troop
der Sarg	the coffin
der Krankenwagen	the ambulance
das Mondlicht	the moonlight
die Hosen	the trousers
die Wolle	the wool
die Mac	the mac
der Dieb	the thief
die Aktentasche	the briefcase
das Mitleid	the pity
die Finger	the fingertip
die Marine	the navy
das Gen	the gene
die Windschutzscheibe	the windshield
der Shuttle	the shuttle
das Unkraut	the weed
die Pfote	the paw
die Festung	the fort
das Plakat	the poster
der Vampir	the vampire
das Arschloch	the asshole
der Gurt	the strap
das Wohnzimmer	the parlor
den Mist	the crap
die Falte	the fold
das Maß	the measure
der Ritter	the knight
der Brunnen	the fountain
der Stall	the stall
der Funke	the spark
der Champagner	the champagne
das Violett	the violet
das Trink	the drinking
das Taschentuch	the handkerchief
das Parfüm	the perfume
der Anspruch	the claim
die Nonne	the nun
die Krone	the crown
das Geländer	the railing
die Barmherzigkeit	the mercy
das Schließfach	the locker
die Burst	the burst
der Frosch	the frog
der Jeep	the jeep
der Bogenschütze	the archer
der Hirte	the shepherd
die Madame	the madame
der Schrott	the scrap
der Wulst	the bead
die Blendung	the glare
das Cafe	the cafe
das Pochen	the pounding
die Schlucht	the canyon
die Spinne	the spider
der Fluch	the curse
das Treppenhaus	the staircase
der Drang	the urge
die Sirene	the siren
das Leer	the curb
der Pirat	the pirate
der Liebe	the dear
die Politik	the politics
der Tennis	the tennis
die Zugehörigkeit	the affiliation
das Momma	the momma
der Umhang	the cape
der Scheinwerfer	the headlight
die Sauerstoff	the oxygen
der Fingernagel	the fingernail
der Weinstock	the vine
der Barkeeper	the bartender
der Koks	the coke
der Rabbi	the rabbi
die Begrüßung	the greeting
die Homer	the homer
der Kamin	the fireplace
das Trikot	the jersey
die Pop	the pop
das Gasthaus	the inn
der Stellvertretende	the deputy
die Verzweiflung	the despair
die Jazz	the jazz
die Umarmung	the hug
die Pfeife	the whistle
das Tageslicht	the daylight
der Slip	the slip
die Rüstung	the armor
der Rucksack	the backpack
das Nasenloch	the nostril
der Speer	the spear
das Kalb	the calf
der Fund	the discovery
die Kraftstoff	the fuel
die Unterwäsche	the underwear
die Kuppel	the dome
die Neigung	the affection
das Wohnzimmer	the lounge
die Achselzucken	the shrug
die Kohlen	the coal
die Jagd	the chase
der Klumpen	the lump
die Zahlung	the pay
die UBahn	the subway
die Kirsche	the cherry
die Eile	the hurry
die Geliebte	the mistress
der Unsinn	the nonsense
das Echo	the echo
der Durchhang	the slack
die Decker	the decker
der Toast	the toast
der Schnurrbart	the mustache
das Augenlid	the eyelid
die Chunk	the chunk
die Schildkröte	the turtle
die Gummi	the gum
der Prediger	the preacher
der Dolly	the dolly
das Leinen	the linen
der Heap	the heap
die Schürze	the apron
das Graue	the gray
der Ekel	the disgust
die Flotte	the liquor
der Lippenstift	the lipstick
der Container	the container
die Hure	the whore
das Kleinkind	the infant
die Sonnenbrille	the sunglasses
der Schlauch	the hose
das Bullshit	the bullshit
das Fach	the compartment
der Backofen	the oven
das Korn	the grain
das Picknick	the picnic
die Knospe	the bud
die Wiese	the meadow
das Gift	the poison
der Büffel	the buffalo
die Soda	the soda
die Eule	the owl
der Kick	the kick
die Ruine	the ruin
die Rampe	the ramp
unterarm	the forearm
der Achsschenkel	the knuckle
die Gans	the goose
der Vormarsch	the advance
die Fee	the fairy
die Mannschaft	the squad
die Orgel	the organ
der Unglaube	the disbelief
der Hain	the grove
der Sattel	the saddle
die Cluster	the cluster
der Abzug	the trigger
der Welpe	the puppy
die Warte	the waiting
die Kommode	the dresser
der Adler	the eagle
der Privatsphäre	the privacy
das Fluid	the fluid
die Herde	the herd
der Kopfschmerz	the headache
der Vergnügungspark	the amusement
das Belle	the belle
die Tabak	the tobacco
die Tätowierung	the tattoo
der Fleck	the stain
der Regenschirm	the umbrella
der Kaiser	the emperor
der Pier	the pier
der Wasserhahn	the tap
der Cutter	the cutter
der Dachboden	the attic
der Tiger	the tiger
die Pal	the pal
der Vorfahr	the ancestor
die Leiste	the ledge
die Fackel	the torch
die Tinten	the ink
das Maultier	the mule
das Stirnrunzeln	the frown
die Mitten	the midst
die Verlegenheit	the embarrassment
das Spannfutter	the chuck
die Clearing	the clearing
die Halskette	the necklace
die Laterne	the lantern
das Lamm	the lamb
die Schritt	the stride
die Manschette	the cuff
die Jungfrau	the virgin
das Eichhörnchen	the squirrel
der Star	the starling
das Speicher	the storage
der Altar	the altar
die Bogen	the arc
das Juwel	the jewel
die Junk	the junk
der Sonnenschein	the sunshine
der Knabe	the lad
der Elf	the elf
das Aspekt	the aspect
das Zifferblatt	the dial
der Hausschuh	the slipper
der Ohrring	the earring
die Ameise	the ant
die Patty	the patty
die Sauce	the sauce
der Graben	the ditch
das Gänseblümchen	the daisy
die Kapelle	the chapel
der Sumpf	the swamp
die Vermutung	the guess
der Kran	the crane
das Diner	the diner
das Skelett	the skeleton
das Elend	the misery
der Stumpf	the stump
der Einsatz	the stake
die Puff	the puff
das Gefolge	the wake
der Zauberer	the wizard
die Matte	the mat
das Zwielicht	the twilight
das Grunzen	the grunt
der Clan	the clan
das Kupfer	the copper
das Steuer	the steering
das Bedauern	the regret
die Romantik	the romance
die Terrasse	the patio
die Schaufel	the shovel
die Schlafanzüge	the pajamas
die Email	the email
die Taube	the pigeon
der Dinosaurier	the dinosaur
der Lift	the lift
das Küken	the chick
das Diagramm	the chart
der Lorbeer	the laurel
der Bluterguss	the bruise
der Knopf	the knob
der Frost	the frost
der Nippel	the nipple
der Pfarrer	the reverend
die Trübung	the haze
das Weihnachtslied	the carol
der Metzger	the butcher
der Würfel	the cube
der Hohl	the hollow
der Höcker	the bump
das Heu	the hay
die Rinde	the bark
die Überlebens	the survival
die Etagen	the bunk
die Biegung	the bend
der Cocktail	the cocktail
das Paradies	the paradise
das Rasiermesser	the razor
die Blüte	the blossom
die Pfütze	the puddle
die Laser	the laser
der Zement	the cement
die Gelbe	the amber
die Göttin	the goddess
die Drift	the drift
die Kämpfe	the fighting
das Geflecht	the braid
der Clown	the clown
die Brille	the goggle
der Pfirsich	the peach
die Wasch	the wash
die Befreiung	the release
die Tag	the tag
der Bh	the bra
die Terrasse	the terrace
die Überbleibsel	the remains
der Joint	the joint
der Diplom	the graduate
der Chor	the chorus
die Rache	the revenge
der Platz	the plaza
der Ältere	the elder
der Ingwer	the ginger
der Bindestrich	the dash
die Sandale	the sandal
der Hass	the hatred
der Umriss	the outline
der Rabe	the raven
die Vorfreude	the anticipation
feier	the celebration
die Qual	the agony
die Turnschuhe	the sneakers
das Terminal	the terminal
die Weide	the pasture
die Konsole	the console
das Abzeichen	the badge
der Fonds	the fund
das Foyer	the foyer
der Pastor	the pastor
die Umarmung	the embrace
der Applaus	the applause
der Graben	the trench
die Bis	the up
der Neffe	the nephew
der Mix	the mix
der Mob	the mob
die Güte	the goodness
der Scout	the scout
die Beihilfen	the aid
das Mikrofon	the microphone
der Kojote	the coyote
der Brennvorgang	the burn
die Weste	the vest
das Pony	the pony
das Keuchen	the gasp
das Zögern	the hesitation
die Taverne	the tavern
die Lästige Pflicht	the chore
das Segel	the sail
die Silhouette	the silhouette
das Institut	the institute
der Lügner	the liar
das Brett	the plank
der Ruck	the jerk
der Strumpf	the stocking
die Schwärze	the blackness
das Armband	the bracelet
gelee	the jelly
der Beton	the concrete
das Banner	the banner
die Haltung	the posture
der Wodka	the vodka
die Bekanntschaft	the acquaintance
der Nap	the nap
der Schleier	the veil
das Schauspiel	the spectacle
die Kopfhaut	the scalp
die Stechpalme	the holly
der Appetit	the appetite
der Efeu	the ivy
die Nichte	the niece
die Verrücktheit	the madness
der Bäcker	the baker
das Virus	the virus
der Ordner	the folder
das Bekenntnis	the confession
der Gepäckträger	the porter
die Müllhalde	the dump
der Tratsch	the gossip
die Stute	the mare
der Rumpf	the torso
der Besen	the broom
der Huf	the hoof
der Speck	the bacon
das Heck	the stern
die Geige	the violin
die Pest	the plague
die Unschärfe	the blur
der Diakon	the deacon
die Lanze	the lance
der Gin	the gin
die Weide	the willow
die Kratz	the scratch
der Verband	the dressing
der Admiral	the admiral
der Regenbogen	the rainbow
die Eidechse	the lizard
der Zwerg	the dwarf
der Vers	the verse
die Überzeugung	the conviction
der Rover	the rover
der Zaunkönig	the wren
die Säulen	the pillar
die Marmelade	the jam
der Schnaps	the brandy
der Baron	the baron
die Wendung	the twist
die Skizze	the sketch
das Register	the register
der Herzschlag	the heartbeat
die Cafeteria	the cafeteria
die Hang	the hillside
das Labyrinth	the maze
das Brummen	the hum
das Kätzchen	the kitten
der Knall	the bang
der Dolch	the dagger
das Con	the con
die Einsamkeit	the loneliness
das Motorrad	the motorcycle
das Staunen	the amazement
die Peer	the peer
die Tech	the tech
die Beleidigung	the insult
die Ehrfurcht	the awe
die Chili	the chili
die Lodge	the lodge
die Limousine	the limo
die Mücke	the mosquito
der Würfel	the dice
der Shake	the shake
das Festmahl	the feast
die Erbse	the pea
das Murmeln	the murmur
der Genosse	the comrade
die Herde	the flock
sob	the sob
das Zusammentreffen	the coincidence
der Waldläufer	the ranger
die Karikatur	the cartoon
der Mitbewohner	the roommate
die Freundlichkeit	the kindness
der Kreuzer	the cruiser
die Bramme	the slab
die Cheer	the cheer
der Konus	the cone
die Schaltung	the circuit
das Elfenbein	the ivory
der Zimmermann	the carpenter
der Penner	the bum
die Donna	the donna
die Krabbe	the crab
das Stöhnen	the groan
die Akademie	the academy
die Sehnsucht	the longing
die Kip	the kip
der Bohrer	the drill
das Gepäck	the luggage
der Baldachin	the canopy
der Nervenkitzel	the thrill
der Sumpf	the marsh
der Schornstein	the chimney
die Anker	the anchor
das Ahorn	the maple
das Kaninchen	the bunny
der Thron	the throne
das Neon	the neon
die Luftschleuse	the airlock
die Ermüdungs	the fatigue
das Manuskript	the manuscript
das Denkmal	the memorial
das Engineering	the engineering
die Linke	the left
die Assoziation	the association
die Beute	the prey
die Taube	the dove
die Episode	the episode
die Kathedrale	the cathedral
die Nach Unten	the down
zum Teufel	the dickens
der Saum	the hem
die Lust	the lust
die Kichern	the giggle
die Klassenkameraden	the classmate
die Reinigung	the cleaning
der Rezeptionist	the receptionist
der Anrufer	the caller
die Verachtung	the contempt
die Großeltern	the grandparent
die Tat	the deed
die Falten	the wrinkle
der Magier	the magician
der Stich	the pang
die Italienische	the italian
die Ewigkeit	the eternity
der Schiefer	the slate
das Treppenhaus	the stairwell
die Vase	the vase
die Oma	the granny
der Außenseiter	the maverick
die Bandage	the bandage
der Schinken	the ham
der Fuhrmann	the carter
die Unschuld	the innocence
die Dach	the rooftop
der Pfannkuchen	the pancake
der Asteroid	the asteroid
die Postkarte	the postcard
das Kleidungsstück	the garment
die Bestimmung	the determination
der Traktor	the tractor
die Beere	the berry
der Klumpen	the clump
die Straftat	the offense
der Butler	the butler
der Husten	the cough
der Granit	the granite
der Wende	the turning
das Kompliment	the compliment
der Karton	the carton
die Türklingel	the doorbell
die Gewissheit	the certainty
die Dankbarkeit	the gratitude
die Jetzige	the current
das Dunkel	the gloom
der Putz	the plaster
die Chop	the chop
die Mordkommission	the homicide
die Aluminium	the aluminum
der Boulevard	the boulevard
der Schüler	the pupil
der Schwimmer	the float
der Schnittpunkt	the intersection
die Leere	the emptiness
der Verlag	the publisher
der Zirkus	the circus
die Abmessung	the dimension
der Tierpark	the zoo
der Bote	the messenger
das Beau	the beau
das Gewirr	the tangle
die Verzweiflung	the desperation
der Abfluss	the drain
die Erdbeere	the strawberry
das Fernglas	the binoculars
die Kluft	the gulf
die Hecke	the hedge
das Stöhnen	the moan
der Verschluss	the shutter
das Floß	the raft
der Arzt	the physician
das Kamel	the camel
das Schlagen	the beating
müsli	the cereal
das Becken	the basin
das Nachthemd	the nightgown
das Cockpit	the cockpit
das Wrack	the wreck
die Perücke	the wig
darin	the rein
der Recorder	the recorder
die Höflichkeit	the courtesy
die Wangenknochen	the cheekbone
die Peitsche	the whip
der Pilger	the pilgrim
der Weise	the sage
der Asphalt	the asphalt
die Süße	the sweetie
der Obstgarten	the orchard
das Kinderbett	the cot
der Beutel	the pouch
das Feuerzeug	the lighter
die Snack	the snack
das Reden	the talking
die Op	the op
die Welligkeit	the ripple
die Radar	the radar
der Pferdeschwanz	the ponytail
die Stoß	the surge
der Erbe	the heir
der Bunker	the vault
die Sissy	the sissy
die Schotten	the scotch
die Tunika	the tunic
der Think	the think
der Penis	the penis
der Einheimische	the native
das Liebesspiel	the lovemaking
die Poker	the poker
der Kalk	the lime
das Überwachungs	the surveillance
der Chopper	the chopper
der Träger	the carrier
das Kin	the kin
die Passform	the fit
die Pull	the pull
das Bauernhaus	the farmhouse
das Warten	the wait
der Attentäter	the assassin
der Schaum	the foam
der Schlepper	the tug
der Abstieg	the descent
das Klingeln	the ringing
die Schere	the scissors
der Zweig	the twig
der Urlaubsort	the resort
der Beschützer	the guardian
der Weizen	the wheat
der Hurrikan	the hurricane
der Spielplatz	the playground
die Tastatur	the keyboard
die Zeder	the cedar
das Wappen	the crest
der Jasmin	the jasmine
der Sessel	the armchair
blinde	the blind
zylinder	the cylinder
die Schwalbe	the swallow
das Dreieck	the triangle
der Gestank	the stench
der Supervisor	the supervisor
die Weite	the expanse
das Moos	the moss
der Sturm	the gale
die Treue	the loyalty
der Lavendel	the lavender
die Begnadigung	the pardon
der Aschenbecher	the ashtray
die Scherbe	the shard
die Ablenkung	the distraction
die Majestät	the majesty
die Pyramide	the pyramid
der Ruhm	the fame
die Not	the distress
der Magier	the mage
der Schwarm	the crush
die Dime	the dime
die Böen	the gust
der Festlichkeit	the treat
der Schläger	the thug
die Steckdose	the socket
der Kürbis	the pumpkin
der Dorn	the thorn
die Wurst	the sausage
die Dig	the dig
der Tan	the tan
der Dorn	the spike
die Krume	the crumb
das Wachs	the wax
das Knurren	the growl
die Vermietung	the rental
das Futter	the feed
die Eskorte	the escort
das Erstaunen	the astonishment
die Flora	the flora
die Blüte	the bloom
das Loft	the loft
das Flimmern	the flicker
der Leibwächter	the bodyguard
die Umsetzung	the realization
der Krater	the crater
das Kongress	the congress
der Braten	the fry
das Zittern	the shiver
der Verlierer	the loser
die Zuzwinkern	the wink
die Kies	the pebble
der Sonnenaufgang	the sunrise
die Erschöpfung	the exhaustion
der Doppelgänger	the double
der Umfang	the perimeter
der Kamm	the comb
der Spritz	the splash
die Konvention	the convention
die Pose	the pose
die Wiege	the cradle
der Stößel	the ram
der Adel	the gentry
die Naht	the seam
der Punk	the punk
der Überrest	the remnant
der Cracker	the cracker
der Bluff	the bluff
die Düne	the dune
der Zahnarzt	the dentist
die Satin	the satin
das Postfach	the mailbox
der Ärger	the annoyance
das Zischen	the hiss
das Lokal	the local
der Bums	the thud
die Bestürzung	the dismay
der Freak	the freak
der Haarschnitt	the haircut
die Süße	the sweet
die Waise	the orphan
das Schach	the chess
die Blütenblatt	the petal
die Schreibarbeit	the paperwork
der Psychiater	the psychiatrist
der Gesang	the singing
das Interrupt	the interrupt
die Bewunderung	the admiration
das Gefrier	the freezer
die Illustration	the illustration
der Eintopf	the stew
der Ermittler	the investigator
der Vorort	the suburb
das Holster	the holster
die Intimität	the intimacy
die Peitsche	the lash
die Einsparung	the saving
die Henne	the hen
die Birke	the birch
der Kindergarten	the nursery
die Pflaume	the plum
das Nichts	the void
die Kanone	the cannon
die Fransen	the fringe
die Stereo	the stereo
die Fella	the fella
der Pinguin	the penguin
die Folter	the torture
die Briefmarke	the stamp
der Übersetzer	the translator
ostern	the easter
das Einfrieren	the freeze
die Pew	the pew
der Pfropfen	the wad
das Höschen	the panties
der Spieß	the spit
der Kühler	the cooler
der Grill	the grill
der Spitzname	the nickname
der Revolver	the revolver
die Maschinen	the machinery
die Damen Und Herren	the madam
der Hecht	the pike
der Laptop	the laptop
der Schnabel	the beak
die Geschwister	the sibling
der Kleiderschrank	the wardrobe
die Klappe	the flap
der Einzige	the sole
das Mitgefühl	the compassion
die Antennen	the antenna
die Grille	the cricket
der Troll	the troll
der Bücherladen	the bookstore
der Halter	the holder
rücksitz	the backseat
die Unwissenheit	the ignorance
das Korps	the corps
die Einsamkeit	the solitude
die Chemische	the chemical
der Dorfbewohner	the villager
die Perfektion	the perfection
der Papst	the pope
das Semester	the semester
die Untertasse	the saucer
die Dringlichkeit	the urgency
der Vulkan	the volcano
die Würze	the spice
der Chor	the choir
gerichtsgebäude	the courthouse
der Boxer	the boxer
die Besorgung	the errand
wobei der Mechanismus	the mechanism
die Fähre	the ferry
der Nigger	the nigger
der Passant	the passerby
die Reizung	the irritation
die Limousine	the sedan
der Feigling	the coward
die Git	the git
die Fackel	the flare
das Heulen	the howl
die Fang	the fang
die Römisch	the roman
der Farbton	the hue
das Unbehagen	the discomfort
das Entlüftungs	the vent
das Kanu	the canoe
der Hamburger	the hamburger
die Traufe	the eave
der Barbier	the barber
das Ableben	the passing
der Verrat	the betrayal
das Sweatshirt	the sweatshirt
die Tentakel	the tentacle
die Brandung	the surf
das Plaid	the plaid
der Gehweg	the walkway
das Hinken	the limp
die Bequemlichkeit	the convenience
die Windel	the diaper
der Maulwurf	the mole
der Reiniger	the cleaner
die Dünung	the swell
der Erwachsene	the grownup
die Scan	the scan
die Klarheit	the clarity
der Salon	the salon
die Flug	the flying
der Rechtsmittelgrund	the plea
die Prärie	the prairie
die Eitelkeit	the vanity
die Olive	the olive
der Bergmann	the miner
die Sicherungs	the backup
die Gegensprechanlage	the intercom
das Tuch	the shawl
der Plattenteller	the platter
das Poltern	the rumble
der Ansager	the announcer
die Axt	the axe
die Übertragungs	the transmission
